ABANDONED SHIP,TENTACOOL,25-30,TENTACOOL,30-35,TENTACRUEL,30-35,TENTACRUEL,25-30,TENTACRUEL,20-25
ABANDONED SHIP,TENTACOOL,25-30,TENTACOOL,30-35,TENTACRUEL,30-35,TENTACRUEL,25-30,TENTACRUEL,20-25
EVER GRANDE CITY,SHARPEDO,30-35,WAILMER,30-35,WAILMER,25-30,WAILMER,35-40,WAILMER,40-45
FORTREE CITY,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
LITTLEROOT TOWN,CORPHISH,25-30,CORPHISH,30-35,CORPHISH,20-25,CORPHISH,35-40,CORPHISH,40-45
METEOR FALLS,BARBOACH,25-30,BARBOACH,30-35,BARBOACH,20-25,BARBOACH,35-40,BARBOACH,40-45
METEOR FALLS,BARBOACH,25-30,BARBOACH,30-35,WHISCASH,30-35,WHISCASH,35-40,WHISCASH,40-45
METEOR FALLS,BARBOACH,25-30,BARBOACH,30-35,WHISCASH,30-35,WHISCASH,35-40,WHISCASH,40-45
METEOR FALLS,BARBOACH,25-30,BARBOACH,30-35,WHISCASH,30-35,WHISCASH,35-40,WHISCASH,40-45
OLDALE TOWN,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
PACIFIDLOG TOWN,SHARPEDO,30-35,WAILMER,30-35,WAILMER,25-30,WAILMER,35-40,WAILMER,40-45
PETALBURG CITY,MAGIKARP,30-35,MAGIKARP,30-35,GYARADOS,35-40,GYARADOS,35-45,GYARADOS,40-45
ROUTE 102,CORPHISH,25-30,CORPHISH,30-35,CORPHISH,20-25,CORPHISH,35-40,CORPHISH,40-45
ROUTE 103,SHARPEDO,30-35,WAILMER,30-35,WAILMER,25-30,WAILMER,35-40,WAILMER,40-45
ROUTE 104,MAGIKARP,25-30,MAGIKARP,30-35,MAGIKARP,20-25,MAGIKARP,35-40,MAGIKARP,40-45
ROUTE 105,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
ROUTE 106,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
ROUTE 107,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
ROUTE 108,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
ROUTE 109,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
ROUTE 110,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
ROUTE 111,BARBOACH,25-30,BARBOACH,30-35,BARBOACH,20-25,BARBOACH,35-40,BARBOACH,40-45
ROUTE 114,BARBOACH,25-30,BARBOACH,30-35,BARBOACH,20-25,BARBOACH,35-40,BARBOACH,40-45
ROUTE 115,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
ROUTE 117,CORPHISH,25-30,CORPHISH,30-35,CORPHISH,20-25,CORPHISH,35-40,CORPHISH,40-45
ROUTE 118,SHARPEDO,30-35,CARVANHA,30-35,CARVANHA,20-25,CARVANHA,35-40,CARVANHA,40-45
ROUTE 119,CARVANHA,25-30,CARVANHA,30-35,CARVANHA,20-25,CARVANHA,35-40,CARVANHA,40-45
ROUTE 120,BARBOACH,25-30,BARBOACH,30-35,BARBOACH,20-25,BARBOACH,35-40,BARBOACH,40-45
ROUTE 121,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
ROUTE 122,SHARPEDO,30-35,WAILMER,30-35,WAILMER,25-30,WAILMER,35-40,WAILMER,40-45
ROUTE 123,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
ROUTE 124,SHARPEDO,30-35,WAILMER,30-35,WAILMER,25-30,WAILMER,35-40,WAILMER,40-45
ROUTE 125,SHARPEDO,30-35,WAILMER,30-35,WAILMER,25-30,WAILMER,35-40,WAILMER,40-45
ROUTE 126,SHARPEDO,30-35,WAILMER,30-35,WAILMER,25-30,WAILMER,35-40,WAILMER,40-45
ROUTE 127,SHARPEDO,30-35,WAILMER,30-35,WAILMER,25-30,WAILMER,35-40,WAILMER,40-45
ROUTE 128,LUVDISC,30-35,WAILMER,30-35,CORSOLA,30-35,WAILMER,35-40,WAILMER,40-45
ROUTE 129,SHARPEDO,30-35,WAILMER,30-35,WAILMER,25-30,WAILMER,35-40,WAILMER,40-45
ROUTE 130,SHARPEDO,30-35,WAILMER,30-35,WAILMER,25-30,WAILMER,35-40,WAILMER,40-45
ROUTE 131,SHARPEDO,30-35,WAILMER,30-35,WAILMER,25-30,WAILMER,35-40,WAILMER,40-45
ROUTE 132,SHARPEDO,30-35,WAILMER,30-35,HORSEA,25-30,WAILMER,35-40,WAILMER,40-45
ROUTE 133,SHARPEDO,30-35,WAILMER,30-35,HORSEA,25-30,WAILMER,35-40,WAILMER,40-45
ROUTE 134,SHARPEDO,30-35,WAILMER,30-35,HORSEA,25-30,WAILMER,35-40,WAILMER,40-45
SAFARI ZONE,GOLDEEN,25-30,GOLDEEN,30-35,SEAKING,30-35,SEAKING,35-40,SEAKING,25-30
SAFARI ZONE,GOLDEEN,25-30,GOLDEEN,30-35,SEAKING,30-35,SEAKING,35-40,SEAKING,25-30
SEAFLOOR CAVERN,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
SEAFLOOR CAVERN,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
SEAFLOOR CAVERN,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
SHOAL CAVE,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
SHOAL CAVE,WAILMER,25-30,WAILMER,30-35,WAILMER,20-25,WAILMER,35-40,WAILMER,40-45
SLATEPORT CITY,LUVDISC,30-35,WAILMER,30-35,CORSOLA,30-35,WAILMER,35-40,WAILMER,40-45
LILYCOVE CITY,WAILMER,25-30,WAILMER,30-35,STARYU,25-30,WAILMER,35-40,WAILMER,40-45
VICTORY ROAD,BARBOACH,25-30,BARBOACH,30-35,WHISCASH,30-35,WHISCASH,35-40,WHISCASH,40-45
